Name,Location,Website,contact,mapLocation
होटल राइजिङ होम,"रायमाझी मार्ग, काठमाडौँ 44600",01-4989373,P8C6+Q5 काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
Daali Hotel & Apartment Pvt Ltd,"अमृत मार्ग, काठमाडौँ 44600",daalihotel.com,970-2286837,P876+8V काठमाडौँ
होटल एक्मे ईन,"सम्झना गल्लि, काठमाडौँ 44600",hotelacmeinn.com,01-4700236,P886+85 काठमाडौँ
Mila Hotel,"Ikha Pokhari Marg, काठमाडौँ 44600",milahotel.com.np,01-5970164,P865+22 काठमाडौँ
द एड्रेस काठमाण्डु होटल,"P876+93H, चाक्सीवारी मार्ग, काठमाडौँ 44600",takathmanduhotel.com,01-5360230,तपाईंको फोनमा पठाउनुहोस्
होटल अम्बासाडोर,"Lazimpat Rd, काठमाडौँ 44600",यहाँ अवस्थित छ: खानी तथा भूगर्भ विभाग,ambassadornepal.com,01-4514432
Hotel Access Nepal,"चाक्सीवारी मार्ग, काठमाडौँ 44600",hotelaccessnepal.com,01-4701350,P876+X3 काठमाडौँ
होटल लोटस ग्रान्ड प्रा. लि.,"पकनाजोल मार्ग, काठमाडौँ 44600",hotellotusgrand.com,980-8894705,P895+2J काठमाडौँ
Hotel Mega & Apartment,"At, सात घुम्ती मार्ग, काठमाडौँ 44600",hotelmegakathmandu.com,985-1340075,P885+7P काठमाडौँ
Nivas Boutique Home,"Yekikaran Sadak, काठमाडौँ 44600",nivasboutiquehome.com,01-4389071,P8C3+CJ काठमाडौँ
होटल चाँदी गृह,"nepal, ठमेल मार्ग 1/206, काठमाडौँ 44600",01-5349735,P876+GM काठमाडौँ,तपाईंको फोनमा पठाउनुहोस्
रोयल किङ्ग्स होटल,काठमाडौँ 44600,royalkingshotel.com,985-1081173,P885+6W काठमाडौँ
होटेल ठमेल,"Ward 29 Block 16 / 57, काठमाडौँ 44600",hotelthamel.com,01-4514693,P886+QH काठमाडौँ
